Name,vCPU,"Memory
(GiB)","Instance
Storage
(GB)",I/O,"On-Demand
Hourly Cost","Reserved Effective
Hourly Cost
(Savings %) *"
z1d.2xlarge,8,64.0,1 x 300 NVMe SSD,Up to 10 Gbps,$0.7440,$0.267 (64%)
z1d.3xlarge,12,96.0,1 x 450 NVMe SSD,Up to 10 Gbps,$1.1160,$0.401 (64%)
z1d.6xlarge,24,192.0,1 x 900 NVMe SSD,10 Gigabit,$2.2320,$0.801 (64%)
z1d.12xlarge,48,384.0,2 x 900 NVMe SSD,25 Gigabit,$4.4640,$1.603 (64%)
i2.xlarge,4,30.5,SSD 1 x 800,Moderate,$0.8530,$0.212 (75%)
i2.2xlarge,8,61.0,SSD 2 x 800,High,$1.7050,$0.423 (75%)
i2.4xlarge,16,122.0,SSD 4 x 800,High,$3.4100,$0.845 (75%)
i2.8xlarge,32,244.0,SSD 8 x 800,10 Gigabit,$6.8200,$1.690 (75%)
i3.large,2,15.25,1 x 475 NVMe SSD,10 Gigabit,$0.1560,$0.066 (58%)
i3.xlarge,4,30.5,1 x 950 NVMe SSD,10 Gigabit,$0.3120,$0.132 (58%)
i3.2xlarge,8,61.0,1 x 1900 NVMe SSD,10 Gigabit,$0.6240,$0.264 (58%)
i3.4xlarge,16,122.0,2 x 1900 NVMe SSD,10 Gigabit,$1.2480,$0.528 (58%)
i3.8xlarge,32,244.0,4 x 1900 NVMe SSD,10 Gigabit,$2.4960,$1.056 (58%)
i3.16xlarge,64,488.0,8 x 1900 NVMe SSD,10 Gigabit,$4.9920,$2.112 (58%)
i3.metal,72,512.0,8 x 1900 NVMe SSD,25 Gigabit,$4.9920,$2.106 (58%)
hs1.8xlarge,16,117.0,24 x 2000,10 Gigabit,$4.6000,---
d2.xlarge,4,30.5,HDD 3 x 2000,Moderate,$0.6900,$0.198 (71%)
d2.2xlarge,8,61.0,HDD 6 x 2000,High,$1.3800,$0.395 (71%)
d2.4xlarge,16,122.0,HDD 12 x 2000,High,$2.7600,$0.791 (71%)
d2.8xlarge,36,244.0,HDD 24 x 2000,10 Gigabit,$5.5200,$1.581 (71%)
h1.2xlarge,8,32.0,1 x 2000 HDD,Moderate,$0.4680,$0.197 (58%)
h1.4xlarge,16,64,2 x 2000 HDD,High,$0.9360,$0.394 (58%)
h1.8xlarge,32,128.0,4 x 2000 HDD,High,$1.8720,$0.787 (58%)
h1.16xlarge,64,256.0,8 x 2000 HDD,10 Gigabit,$3.7440,$1.574 (58%)
f1.2xlarge,8,122.0,1 x 470 NVMe SSD,10 Gigabit,$1.6500,$0.717 (57%)
f1.16xlarge,64,976.0,4 x 940 NVMe SSD,10 Gigabit,$13.2000,$5.734 (57%)
m1.small,1,1.7,1 x 160,Low,$0.0440,$0.015 (65%)
m1.medium,1,3.7,1 x 410,Moderate,$0.0870,$0.029 (66%)
m1.large,2,7.5,2 x 420,Moderate,$0.1750,$0.059 (66%)
m1.xlarge,4,15.0,4 x 420,High,$0.3500,$0.117 (67%)
c1.medium,2,1.7,1 x 350,Moderate,$0.1300,$0.049 (62%)
c1.xlarge,8,7.0,4 x 420,High,$0.5200,$0.196 (62%)
cc2.8xlarge,32,60.5,4 x 840,10 Gigabit,$2.0000,$0.614 (69%)
m2.xlarge,2,17.1,1 x 420,Moderate,$0.2450,$0.056 (77%)
m2.2xlarge,4,34.2,1 x 850,Moderate,$0.4900,$0.112 (77%)
m2.4xlarge,8,68.4,2 x 840,High,$0.9800,$0.222 (77%)
cr1.8xlarge,32,244.0,SSD 2 x 120,10 Gigabit,$3.5000,---
